Date,Post ID,Network,Post Type,Content Type,Profile,Sent by,Link,Post,Linked Content,Impressions,Organic Impressions,Potential Reach,Engagement Rate (per Impression),Engagements,Reactions,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Other Post Clicks,Post Clicks (All),Post Media Clicks,Post Hashtag Clicks,Post Detail Expand Clicks,Profile Clicks,Other Engagements,App Engagements,App Install Attempts,App Opens,Follows from Post,Unfollows from Post,bit.ly Link Clicks,Video Views,Media Views,Tags
7/13/2023 10:57 am,1679429829567946759,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1679429829567946759,"Your money should not be a gamble. Before you invest, do your own personal research on the historical performance of the stocks and ensure you invest with a credible firm like Stanbic IBTC Stockbrokers.
Send an email to CallMe@stanbicibtc.com to get started.
#ITCANBE
#Invest https://t.co/lwNxLg911o",https://twitter.com/StanbicIBTC/status/1679429829567946759/photo/1,445,445,"345,718",3.6%,16,4,4,2.0,1,,,9,9,1,0.0,7,1.0,0,0.0,0.0,0.0,0.0,0.0,,,1,CIB Posts
7/12/2023 8:03 pm,1679204777081864192,Twitter,Tweet,Text,'@StanbicIBTC,Blessing Ubah,https://twitter.com/StanbicIBTC/status/1679204777081864192,"What skill (s) do you have, that no one ever taught you? 
Share in the comments!
#ITCANBE",,"2,961","2,961","347,102",1.76%,52,11,11,20.0,3,,,18,18,,1.0,12,5.0,0,0.0,0.0,0.0,0.0,0.0,,,,
7/12/2023 7:00 pm,1679189012798660608,Twitter,Tweet,Photo,'@StanbicIBTC,Blessing Ubah,https://twitter.com/StanbicIBTC/status/1679189012798660608,"Sade was able to acquire a home loan and make her dream a reality, you too can. Visit https://t.co/Dpi7LF0TQK today and let’s help you get that house of your dreams.
#WealthWednesday
#ITCANBE https://t.co/qJwLGZsDEg","https://bit.ly/StanbicIBTCHomeLoans, https://twitter.com/StanbicIBTC/status/1679189012798660608/photo/1, https://twitter.com/StanbicIBTC/status/1679189012798660608/photo/1, https://twitter.com/StanbicIBTC/status/1679189012798660608/photo/1, https://twitter.com/StanbicIBTC/status/1679189012798660608/photo/1",850,850,"347,594",4.24%,36,4,4,1.0,3,0.82%,7.0,21,28,11,0.0,10,0.0,0,0.0,0.0,0.0,0.0,0.0,,,11,Weekly Wealth Posts
7/12/2023 6:20 pm,1679179017084354560,Twitter,Tweet,Photo,'@StanbicIBTC,Blessing Ubah,https://twitter.com/StanbicIBTC/status/1679179017084354560,"Here are some mistakes you shouldn’t make during this season.
#ITCANBE https://t.co/qxv91LCE03",https://twitter.com/StanbicIBTC/status/1679179017084354560/photo/1,"1,499","1,499","349,169",3.4%,51,13,13,3.0,5,,,30,30,24,0.0,5,1.0,0,0.0,0.0,0.0,0.0,0.0,,,24,
7/11/2023 12:50 pm,1678733396992745472,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1678733396992745472,"Safeguard every aspect of your operations with our comprehensive insurance cover. Email insurancesolution@stanbicibtc.com today to secure your organisation's future.
#ITCANBE https://t.co/k9IjHzgwsn",https://twitter.com/StanbicIBTC/status/1678733396992745472/photo/1,"1,184","1,184","345,653",1.52%,18,7,7,3.0,1,,,7,7,3,0.0,1,3.0,0,0.0,0.0,0.0,0.0,0.0,,,3,"Insurance Limited Posts, Weekly Wealth Posts"
7/11/2023 11:00 am,1678705730143109122,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1678705730143109122,"Tell us in the comments.
#ITCANBE https://t.co/v9v6ZCSVFl",https://twitter.com/StanbicIBTC/status/1678705730143109122/photo/1,"4,598","4,598","345,734",1.52%,70,12,12,18.0,1,0.02%,1.0,38,39,15,1.0,16,6.0,0,0.0,0.0,0.0,0.0,0.0,,,15,
7/11/2023 8:00 am,1678660449829527553,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1678660449829527553,"Together, we can make a difference and build a brighter tomorrow 🤝 

#GlobalUnityForTomorrow
#WorldPopulationDay
#ITCANBE https://t.co/AZRGHiqYSK",https://twitter.com/StanbicIBTC/status/1678660449829527553/photo/1,"1,142","1,142","345,746",1.93%,22,9,9,4.0,1,,,8,8,4,1.0,2,1.0,0,0.0,0.0,0.0,0.0,0.0,,,4,
7/10/2023 6:05 pm,1678450391002882072,Twitter,Tweet,Photo,'@StanbicIBTC,Blessing Ubah,https://twitter.com/StanbicIBTC/status/1678450391002882072,"Hey CEOs, it’s time to say goodbye to complexities and hello to seamless operations.
Stay Tuned! 😉
#ITCANBE https://t.co/A5cNyBW2DG",https://twitter.com/StanbicIBTC/status/1678450391002882072/photo/1,"1,235","1,235","345,628",1.46%,18,7,7,6.0,0,,,5,5,2,0.0,2,1.0,0,0.0,0.0,0.0,0.0,0.0,,,2,Enterprise Campaign
7/10/2023 5:09 pm,1678436199789150213,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1678436199789150213,"With the Stanbic IBTC SME Online-Bento Redirect Solution, you can easily sort out staff salaries and taxes. Email SpecialisedSectors@stanbicibtc.com to get started.
#ITCANBE https://t.co/LKMmrX6FBt",https://twitter.com/StanbicIBTC/status/1678436199789150213/photo/1,930,930,"345,627",1.61%,15,7,7,1.0,0,,,7,7,1,0.0,4,2.0,0,0.0,0.0,0.0,0.0,0.0,,,1,BCC
7/10/2023 2:14 pm,1678392147186155521,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1678392147186155521,"Let us work together to help you reach the remarkable future you desire. Visit https://t.co/EOxreJGDr9 to begin.
#ITCANBE https://t.co/LG4CgCQzKJ","http://www.stanbicibtcpension.com, https://twitter.com/StanbicIBTC/status/1678392147186155521/photo/1","1,111","1,111","347,015",2.16%,24,5,5,4.0,2,0.18%,2.0,11,13,6,0.0,0,5.0,0,0.0,0.0,0.0,0.0,0.0,,,6,"Pension, Weekly Wealth Posts"
7/10/2023 11:00 am,1678343328226484225,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1678343328226484225,"Invest in stocks and witness the satisfaction of seeing your investments flourish. Send an email to StartWithZero@stanbicibtc.com today .
#ITCANBE https://t.co/ZCIFye5WgV",https://twitter.com/StanbicIBTC/status/1678343328226484225/photo/1,"1,381","1,381","349,717",1.59%,22,11,11,3.0,1,,,7,7,4,0.0,1,2.0,0,0.0,0.0,0.0,0.0,0.0,,,4,CIB Posts
7/10/2023 8:00 am,1678298028304629761,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1678298028304629761,"Remember, self-love fuels your external glow 💙 

#ITCANBE
#Selflove
#MondayMotivation https://t.co/HITHdunsnK",https://twitter.com/StanbicIBTC/status/1678298028304629761/photo/1,"1,015","1,015","345,696",1.77%,18,8,8,0.0,1,,,9,9,3,0.0,5,1.0,0,0.0,0.0,0.0,0.0,0.0,,,3,
7/9/2023 6:00 pm,1678086643754967042,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1678086643754967042,"With the control of your finances at your finger tips, you can enjoy easy banking. 
#ITCANBE https://t.co/nwqvWcO68H",https://twitter.com/StanbicIBTC/status/1678086643754967042/photo/1,"1,345","1,345","347,216",1.93%,26,8,8,3.0,3,,,12,12,9,1.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,,,9,CHNW Mass Retail
