Date,Content Type,Sent by,Post,Impressions,Reach,Organic Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Reactions,Likes,Comments,Saves
2023-01-30 17:06:00,Carousel,Other,"The new Naira banknotes in circulation have several security features for ease of recognition which can be easily seen and touched.
Please deposit your old N200, N500 and N1000 naira notes at any Stanbic IBTC branch near you.
Image Source - @centralbankng 
#ITCANBE",39681.0,32418.0,32418.0,4.89,5.99,1942.0,1261.0,1261.0,56.0,625.0
2022-04-15 09:04:00,Photo,Blessing Ubah,"We hope the faith that this #GoodFriday restores abides with you and your loved ones. 
#TGIF
#ITCANBE",29186.0,25055.0,25055.0,6.04,7.04,1763.0,709.0,709.0,1033.0,21.0
2021-05-28 20:45:00,Video,Other,"Reposted from @mzdosunmu My son's entry
#ITCANBE
@stanbicibtc",21175.0,19237.0,19237.0,3.48,3.83,736.0,702.0,702.0,23.0,11.0
2023-01-04 16:08:00,Carousel,Other,"The new Naira banknotes in circulation have several security features for ease of recognition which can be easily seen and touched.
Please deposit your old N200, N500 and N1000 naira notes at any Stanbic IBTC branch near you.
Image Source - @centralbankng 
#ITCANBE",23425.0,18993.0,18993.0,4.48,5.53,1050.0,677.0,677.0,36.0,337.0
2021-12-07 18:52:00,Photo,Blessing Ubah,"If you were born in June, ‘cut soap for us oh’! 🤣 
 #ITCANBE",21033.0,18335.0,18335.0,6.58,7.54,1383.0,757.0,757.0,606.0,20.0
2021-05-29 06:18:00,Video,Other,"Reposted from @greaterpharez My entry video 
#itcanbe 
@stanbicibtc",19675.0,18081.0,18081.0,3.3,3.59,649.0,616.0,616.0,24.0,9.0
2021-05-28 10:00:00,Photo,Kemi Amoo,"Imagine you are all dressed up for your #TGIF groove and you are going to jump bus to get there ☹️ . That’s not good enough…
Let us finance the purchase of your dream car from Geely at just 5% interest rate!
Contact StanbicNigeria-VAF@stanbicibtc.com to begin!",19280.0,17719.0,17719.0,2.71,2.95,522.0,416.0,416.0,91.0,15.0
2021-07-18 16:00:00,Photo,Kemi Amoo,"If you were to pick one wish, what would it be?
#ITCANBE",19215.0,17710.0,17710.0,5.39,5.85,1036.0,539.0,539.0,484.0,13.0
2021-11-23 15:49:00,Photo,Blessing Ubah,"If you could choose, which one would you pick? 

Tell us in the comment section.

#ITCANBE",18714.0,17049.0,17049.0,4.56,5.0,853.0,479.0,479.0,351.0,23.0
2022-01-15 16:10:00,Video,Other,"What did you get when you took a screenshot? 😁

Share your screenshot in your stories and tag us or in the comments.

#ITCANBE",17480.0,16250.0,16250.0,3.04,3.27,532.0,328.0,328.0,185.0,19.0
2021-05-28 21:15:00,Video,Other,Reposted from @brit.407 #itcanbe this girl really made me laugh so hard today,17618.0,16196.0,16196.0,2.93,3.19,516.0,492.0,492.0,16.0,8.0
2021-05-29 13:50:00,Video,Other,"Reposted from @princessk0310 #icanbe 
@stanbicibtc",17184.0,16118.0,16118.0,3.14,3.34,539.0,518.0,518.0,11.0,10.0
2021-05-29 14:56:00,Video,Other,"Reposted from @francisbondd @babybikersng wants to work with @officialefcc to stop 🛑 crime 
Cc @stanbicibtc #itcanbe",16686.0,16094.0,16094.0,3.6,3.73,600.0,543.0,543.0,49.0,8.0
