Date,Content Type,Sent by,Post,Impressions,Potential Reach,Engagement Rate (per Impression),Engagements,Reactions,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Other Post Clicks,Post Clicks (All),Post Media Clicks,Post Hashtag Clicks,Post Detail Expand Clicks,Profile Clicks,Other Engagements,Follows from Post,Unfollows from Post,Media Views,Has Link
2023-07-13 10:57:00,Photo,Sophia Amuka,"Your money should not be a gamble. Before you invest, do your own personal research on the historical performance of the stocks and ensure you invest with a credible firm like Stanbic IBTC Stockbrokers.
Send an email to CallMe@stanbicibtc.com to get started.
#ITCANBE
#Invest https://t.co/lwNxLg911o",445.0,345718.0,3.6,16.0,4.0,4.0,2.0,1.0,0.0,0.0,9.0,9.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0
2023-07-12 20:03:00,Text,Blessing Ubah,"What skill (s) do you have, that no one ever taught you? 
Share in the comments!
#ITCANBE",2961.0,347102.0,1.76,52.0,11.0,11.0,20.0,3.0,0.0,0.0,18.0,18.0,0.0,1.0,12.0,5.0,0.0,0.0,0.0,0.0,0
2023-07-12 19:00:00,Photo,Blessing Ubah,"Sade was able to acquire a home loan and make her dream a reality, you too can. Visit https://t.co/Dpi7LF0TQK today and let’s help you get that house of your dreams.
#WealthWednesday
#ITCANBE https://t.co/qJwLGZsDEg",850.0,347594.0,4.24,36.0,4.0,4.0,1.0,3.0,0.82,7.0,21.0,28.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,1
2023-07-12 18:20:00,Photo,Blessing Ubah,"Here are some mistakes you shouldn’t make during this season.
#ITCANBE https://t.co/qxv91LCE03",1499.0,349169.0,3.4,51.0,13.0,13.0,3.0,5.0,0.0,0.0,30.0,30.0,24.0,0.0,5.0,1.0,0.0,0.0,0.0,24.0,0
2023-07-11 12:50:00,Photo,Sophia Amuka,"Safeguard every aspect of your operations with our comprehensive insurance cover. Email insurancesolution@stanbicibtc.com today to secure your organisation's future.
#ITCANBE https://t.co/k9IjHzgwsn",1184.0,345653.0,1.52,18.0,7.0,7.0,3.0,1.0,0.0,0.0,7.0,7.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0
2023-07-11 11:00:00,Photo,Sophia Amuka,"Tell us in the comments.
#ITCANBE https://t.co/v9v6ZCSVFl",4598.0,345734.0,1.52,70.0,12.0,12.0,18.0,1.0,0.02,1.0,38.0,39.0,15.0,1.0,16.0,6.0,0.0,0.0,0.0,15.0,1
2023-07-11 08:00:00,Photo,Sophia Amuka,"Together, we can make a difference and build a brighter tomorrow 🤝 

#GlobalUnityForTomorrow
#WorldPopulationDay
#ITCANBE https://t.co/AZRGHiqYSK",1142.0,345746.0,1.93,22.0,9.0,9.0,4.0,1.0,0.0,0.0,8.0,8.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0
2023-07-10 18:05:00,Photo,Blessing Ubah,"Hey CEOs, it’s time to say goodbye to complexities and hello to seamless operations.
Stay Tuned! 😉
#ITCANBE https://t.co/A5cNyBW2DG",1235.0,345628.0,1.46,18.0,7.0,7.0,6.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0
2023-07-10 17:09:00,Photo,Sophia Amuka,"With the Stanbic IBTC SME Online-Bento Redirect Solution, you can easily sort out staff salaries and taxes. Email SpecialisedSectors@stanbicibtc.com to get started.
#ITCANBE https://t.co/LKMmrX6FBt",930.0,345627.0,1.61,15.0,7.0,7.0,1.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0
2023-07-10 14:14:00,Photo,Sophia Amuka,"Let us work together to help you reach the remarkable future you desire. Visit https://t.co/EOxreJGDr9 to begin.
#ITCANBE https://t.co/LG4CgCQzKJ",1111.0,347015.0,2.16,24.0,5.0,5.0,4.0,2.0,0.18,2.0,11.0,13.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,1
2023-07-10 11:00:00,Photo,Sophia Amuka,"Invest in stocks and witness the satisfaction of seeing your investments flourish. Send an email to StartWithZero@stanbicibtc.com today .
#ITCANBE https://t.co/ZCIFye5WgV",1381.0,349717.0,1.59,22.0,11.0,11.0,3.0,1.0,0.0,0.0,7.0,7.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0
2023-07-10 08:00:00,Photo,Sophia Amuka,"Remember, self-love fuels your external glow 💙 

#ITCANBE
#Selflove
#MondayMotivation https://t.co/HITHdunsnK",1015.0,345696.0,1.77,18.0,8.0,8.0,0.0,1.0,0.0,0.0,9.0,9.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,0
2023-07-09 18:00:00,Photo,Sophia Amuka,"With the control of your finances at your finger tips, you can enjoy easy banking. 
#ITCANBE https://t.co/nwqvWcO68H",1345.0,347216.0,1.93,26.0,8.0,8.0,3.0,3.0,0.0,0.0,12.0,12.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0
2023-07-09 16:00:00,Photo,Kemi Amoo,"Update! Need to swap your FX to naira? We've got you covered! Download the Stanbic IBTC Mobile App now to get started.
#ITCANBE https://t.co/hbbpisxV9C",1244.0,349238.0,4.9,61.0,3.0,3.0,2.0,2.0,0.0,0.0,53.0,53.0,28.0,0.0,16.0,9.0,1.0,1.0,0.0,28.0,0
2023-07-09 15:00:00,Photo,Sophia Amuka,"With our team of professionals, you can trust us to navigate the dynamic market landscape on your behalf. 
Visit https://t.co/oMGjCG03ED to start your journey towards financial success today by investing in our Mutual Funds.

#ITCANBE https://t.co/FffkYdW6IQ",916.0,345772.0,2.4,22.0,2.0,2.0,3.0,1.0,0.66,6.0,10.0,16.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,1
2023-07-09 12:00:00,Photo,Sophia Amuka,"Don’t let fear of the managing your finances home and abroad stop you from travelling abroad. Do you have question(s) about your money and travelling abroad? Share with us here https://t.co/3LOVijaPUd

#ITCANBE https://t.co/E5dHxIynnv",1292.0,345782.0,3.25,42.0,8.0,8.0,5.0,1.0,0.15,2.0,26.0,28.0,15.0,0.0,4.0,7.0,0.0,0.0,0.0,15.0,1
2023-07-09 09:00:00,Photo,Sophia Amuka,"Choose happiness daily to create a more joyful and fulfilling life. Incorporate these tips and make happiness-oriented decisions to cultivate a blissful existence. 
#HappySunday!
#ITCANBE https://t.co/cnM5h4QAnV",1120.0,345803.0,2.59,29.0,6.0,6.0,1.0,2.0,0.0,0.0,20.0,20.0,13.0,0.0,3.0,4.0,0.0,0.0,0.0,13.0,0
2023-07-08 15:00:00,Video,Sophia Amuka,"Experience the captivating highlights from our FUZE talent hunt, where dreams become reality and talent meets destiny. Visit https://t.co/vMQmSn3Q0y to watch more thrilling performances and unforgettable moments. 
#IgniteYourFUZE
#ITCANBE https://t.co/5qyvPaTi3p",1107.0,345603.0,3.88,43.0,8.0,8.0,6.0,0.0,0.36,4.0,25.0,29.0,15.0,0.0,6.0,4.0,0.0,0.0,0.0,106.0,1
2023-07-08 12:00:00,Photo,Sophia Amuka,"With our Home Loan, you can get the desired space that reflects your personal taste and style. Visit https://t.co/Dpi7LF0m1c  today to get started.
#ITCANBE https://t.co/NJo0Zye2H6",1043.0,345756.0,2.11,22.0,7.0,7.0,2.0,1.0,0.19,2.0,10.0,12.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,1
2023-07-08 09:30:00,Video,Kemi Amoo,"With an impressive track record and a wealth of knowledge, Juliet Ehimuan (@jehimuan) delivered an enlightening and captivating keynote address at LATTES 3.0. Visit https://t.co/KNVsOHaVRL if you missed it.
#LATTES
#ITCANBE https://t.co/qmcyIQaJAQ",2341.0,409204.0,27.51,644.0,498.0,498.0,30.0,59.0,0.04,1.0,56.0,57.0,29.0,0.0,15.0,12.0,0.0,0.0,0.0,246.0,1
2023-07-08 09:00:00,Photo,Sophia Amuka,"Make secure payments with ease using NQR. Simply scan the QR code to initiate your payment.
#ITCANBE https://t.co/el08dKV8P0",1377.0,345751.0,2.32,32.0,14.0,14.0,4.0,1.0,0.0,0.0,13.0,13.0,8.0,0.0,2.0,3.0,0.0,0.0,2.0,8.0,0
2023-07-07 21:30:00,Photo,Sophia Amuka,"Whether you are spending quality time with loved ones or indulging in some much-needed self-care, this weekend will be a beautiful one. Amen?
#Weekend
#ITCANBE https://t.co/3A25kVP5ke",1288.0,346320.0,2.48,32.0,13.0,13.0,3.0,2.0,0.0,0.0,14.0,14.0,7.0,1.0,5.0,1.0,0.0,0.0,0.0,7.0,0
2023-07-07 21:00:00,Photo,Sophia Amuka,Invest in the secure and reliable FGN Savings Bond and watch your wealth flourish. Send an email now to CallMe@stanbicibtc.com to start building a brighter financial future today. https://t.co/vIH5zT9G2T,1273.0,345766.0,1.89,24.0,9.0,9.0,2.0,1.0,0.08,1.0,11.0,12.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,1
2023-07-07 20:44:00,Photo,Blessing Ubah,"Greatest Uites and Bodija market,we are coming your way! 
Join us as we embark on a transformative journey towards accelerating business growth. 😉 
Interested in opening a business account? Visit here now - https://t.co/gH3qMoUcvJ
#ITCANBE https://t.co/vwyFudnuZQ",1019.0,347082.0,2.75,28.0,7.0,7.0,1.0,2.0,0.0,0.0,18.0,18.0,12.0,0.0,5.0,1.0,0.0,0.0,0.0,12.0,1
2023-07-07 20:40:00,Video,Blessing Ubah,"Where are the business gurus in Ibadan?
Join us at Gbagi and Agbeni Markets, where we'll embark on a transformative journey towards accelerating your business growth. 😉
Interested in opening a business account? Visit here now - https://t.co/gH3qMoUcvJ
#ITCANBE https://t.co/KFqbAnkJxg",995.0,345766.0,1.81,18.0,4.0,4.0,1.0,1.0,0.3,3.0,9.0,12.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,59.0,1
